Time,T_ref_C,T_meas_C,PWM_percent,error_C
42.4 sec,50,44.192417235432,79.2581603169066,5.82108669611305
42.5 sec,50,44.2058169487447,79.2372426060149,5.80758276456802
42.6 sec,50,44.2191143792984,79.216957645282,5.79418305125531
42.7 sec,50,44.2323114213456,79.197291485163,5.78088562070161
42.8 sec,50,44.2454099288061,79.1782304774652,5.76768857865441
42.9 sec,50,44.2584117161361,79.1597612688489,5.75459007119388
43 sec,50,44.2713185591783,79.1418707944667,5.74158828386387
43.1 sec,50,44.2841321959938,79.1245462717417,5.7286814408217
43.2 sec,50,44.2968543276761,79.107775194278,5.71586780400623
43.3 sec,50,44.3094866191475,79.0915453259045,5.70314567232393
43.4 sec,50,44.3220306999386,79.0758446948455,5.69051338085247
43.5 sec,50,44.3344881649501,79.0606615880182,5.67796930006143
43.6 sec,50,44.3468605751993,79.045984545452,5.66551183504994
43.7 sec,50,44.3591494585501,79.0318023548298,5.65313942480066
43.8 sec,50,44.3713563104267,79.0181040461452,5.64085054144986
43.9 sec,50,44.3834825945125,79.0048788864764,5.62864368957332
44 sec,50,44.3955297434342,78.992116374872,5.61651740548748
44.1 sec,50,44.4074991594301,78.9798062373473,5.60447025656583
